Category,STATE/UT,Population in lakhhs,Rape - Incidents,Rape - Rate,Rape Percentage,Kidnapping & Abduction  -Incidents,Kidnapping & Abduction - Rate,Kidnapping & Abduction Percentage,Dowry Deaths  -Incidents,Dowry Deaths - Rate,Dowry Deaths - Percentage,Cruelty by Husband and Relatives - Incidents,Cruelty by Husband and Relatives - Rate,Cruelty by Husband and Relatives( - Percentage,Molestation - Incidents,Molestation - Rate,Molestation - Percentage,Sexual Harassment - Incidents,Sexual Harassment - Rate,Sexual Harassment - Percentage,Importation of Girls - Incidents,Importation of Girls - Rate,Importation of Girls - Percentage,Sati Prevention Act - Incidents,Sati Prevention Act - Rate,Sati Prevention Act - Percentage,Immoral Traffic Act - Incidents,Immoral Traffic Act - Rate,Immoral Traffic Act - Percentage,Indecent Representation of Women - Incidents,Indecent Representation of Women - Rate,Indecent Representation of Women - Percentage,Dowry Prohibition Act - Incidents,Dowry Prohibition Act _ Rate,Dowry Prohibition Act - Percentage,Total - Incidents,Total - Rate,Total - Percentage,Year
State,Kerala,318.39,562,1.8,3.5,97,0.3,0.7,27,0.1,0.4,2561,8,5.2,1942,6.1,5.7,81,0.3,0.8,0,0,0,0,0,0,132,0.4,1.5,42,0.1,4,6,0,0.2,5450,17.1,3.8,2001
State,Madhya Pradesh,603.85,2851,4.7,17.7,668,1.1,4.6,609,1,8.9,2562,4.2,5.2,7063,11.7,20.7,751,1.2,7.7,0,0,0,0,0,0,15,0,0.2,0,0,0,30,0,0.9,14549,24.1,10.1,2001
State,Maharashtra,967.52,1302,1.3,8.1,611,0.6,4.2,308,0.3,4.5,6090,6.3,12.4,2823,2.9,8.3,1120,1.2,11.5,1,0,0.9,0,0,0,233,0.2,2.6,9,0,0.9,27,0,0.8,12524,12.9,8.7,2001
State,Manipur,23.89,20,0.8,0.1,62,2.6,0.4,0,0,0,5,0.2,0,21,0.9,0.1,0,0,0,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,0,112,4.7,0.1,2001
State,Meghalaya,23.06,26,1.1,0.2,11,0.5,0.1,0,0,0,4,0.2,0,25,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2.9,0,2001
State,Mizoram,8.91,52,5.8,0.3,1,0.1,0,0,0,0,16,1.8,0,52,5.8,0.2,0,0,0,3,0.3,2.6,0,0,0,2,0.2,0,0,0,0,0,0,0,126,14.1,0.1,2001
State,Nagaland,19.89,17,0.9,0.1,6,0.3,0,0,0,0,0,0,0,6,0.3,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,30,1.5,0,2001
State,Orissa,367.07,790,2.2,4.9,434,1.2,3,294,0.8,4.3,1266,3.4,2.6,1655,4.5,4.8,458,1.2,4.7,0,0,0,0,0,0,24,0.1,0.3,0,0,0,436,1.2,13.5,5357,14.6,3.7,2001
State,Punjab,242.89,298,1.2,1.9,324,1.3,2.2,159,0.7,2.3,1128,4.6,2.3,372,1.5,1.1,47,0.2,0.5,0,0,0,0,0,0,32,0.1,0.4,1,0,0.1,0,0,0,2361,9.7,1.6,2001
State,Rajasthan,564.73,1049,1.9,6.5,2165,3.8,14.8,376,0.7,5.5,5532,9.8,11.3,2878,5.1,8.4,56,0.1,0.6,1,0,0.9,0,0,0,68,0.1,0.8,46,0.1,4.4,4,0,0.1,12175,21.6,8.5,2001
State,Sikkim,5.4,8,1.5,0,2,0.4,0,0,0,0,0,0,0,0,0,0,14,2.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4.4,0,2001
State,Tamil Nadu,621.11,423,0.7,2.6,607,1,4.1,191,0.3,2.8,815,1.3,1.7,1773,2.9,5.2,1012,1.6,10.4,14,0,12.3,0,0,0,5232,8.4,59.5,11,0,1,33,0.1,1,10111,16.3,7,2001
State,Tripura,31.91,102,3.2,0.6,35,1.1,0.2,16,0.5,0.2,227,7.1,0.5,58,1.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,13.7,0.3,2001
State,Uttar Pradesh,1660.53,1958,1.2,12.2,2879,1.7,19.7,2211,1.3,32.3,7365,4.4,15,2870,1.7,8.4,2575,1.6,26.4,0,0,0,0,0,0,26,0,0.3,3,0,0.3,340,0.2,10.6,20227,12.2,14.1,2001
State,Uttaranchal,84.8,74,0.9,0.5,126,1.5,0.9,56,0.7,0.8,301,3.5,0.6,103,1.2,0.3,84,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,0.2,749,8.8,0.5,2001
State,West Bengal,802.21,709,0.9,4.4,695,0.9,4.7,265,0.3,3.9,3859,4.8,7.8,954,1.2,2.8,48,0.1,0.5,3,0,2.6,0,0,0,31,0,0.4,0,0,0,6,0,0.2,6570,8.2,4.6,2001
Union Territory,A & N Islands,3.56,3,0.8,0,2,0.6,0,0,0,0,9,2.5,0,19,5.3,0.1,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9.6,0,2001
Union Territory,Chandigarh,9.01,18,2,0.1,50,5.5,0.3,3,0.3,0,36,4,0.1,24,2.7,0.1,15,1.7,0.2,0,0,0,0,0,0,3,0.3,0,1,0.1,0.1,0,0,0,150,16.6,0.1,2001
Union Territory,D & N Haveli,2.2,6,2.7,0,2,0.9,0,0,0,0,4,1.8,0,7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8.6,0,2001
Union Territory,Daman & Diu,1.58,0,0,0,3,1.9,0,0,0,0,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9,0,0,0,0,0,0,0,10,6.3,0,2001
Union Territory,Delhi,137.83,381,2.8,2.4,964,7,6.6,113,0.8,1.6,138,1,0.3,502,3.6,1.5,90,0.7,0.9,0,0,0,0,0,0,95,0.7,1.1,1,0,0.1,7,0.1,0.2,2291,16.6,1.6,2001
Union Territory,Lakshadweep,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
Union Territory,Pondicherry,9.74,9,0.9,0.1,3,0.3,0,1,0.1,0,3,0.3,0,35,3.6,0.1,27,2.8,0.3,0,0,0,0,0,0,39,4,0.4,0,0,0,2,0.2,0.1,119,12.2,0.1,2001
City,Agra,13.21,66,5,5.2,131,9.9,5.8,62,4.7,11.2,327,24.8,5.3,110,8.3,4.3,114,8.6,4.7,0,0,0,0,0,0,3,0.2,0.1,0,0,0,0,0,0,813,61.5,4.1,2001
