Category,STATE/UT,Population in lakhhs,Rape - Incidents,Rape - Rate,Rape Percentage,Kidnapping & Abduction  -Incidents,Kidnapping & Abduction - Rate,Kidnapping & Abduction Percentage,Dowry Deaths  -Incidents,Dowry Deaths - Rate,Dowry Deaths - Percentage,Cruelty by Husband and Relatives - Incidents,Cruelty by Husband and Relatives - Rate,Cruelty by Husband and Relatives( - Percentage,Molestation - Incidents,Molestation - Rate,Molestation - Percentage,Sexual Harassment - Incidents,Sexual Harassment - Rate,Sexual Harassment - Percentage,Importation of Girls - Incidents,Importation of Girls - Rate,Importation of Girls - Percentage,Sati Prevention Act - Incidents,Sati Prevention Act - Rate,Sati Prevention Act - Percentage,Immoral Traffic Act - Incidents,Immoral Traffic Act - Rate,Immoral Traffic Act - Percentage,Indecent Representation of Women - Incidents,Indecent Representation of Women - Rate,Indecent Representation of Women - Percentage,Dowry Prohibition Act - Incidents,Dowry Prohibition Act _ Rate,Dowry Prohibition Act - Percentage,Total - Incidents,Total - Rate,Total - Percentage,Year
Union Territory,Pondicherry,10.05,2,0.2,0,13,1.3,0.1,1,0.1,0,4,0.4,0,56,5.6,0.2,27,2.7,0.2,0,0,0,0,0,0,13,1.3,0.2,0,0,0,5,0.5,0.2,121,12,0.1,2003
City,Agra,13.21,11,0.8,0.8,53,4,2.8,26,2,4.9,140,10.6,1.8,30,2.3,1.1,44,3.3,1.5,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,308,23.3,1.6,2003
City,Ahmedabad,45.19,18,0.4,1.4,96,2.1,5,3,0.1,0.6,595,13.2,7.6,50,1.1,1.8,30,0.7,1,0,0,0,0,0,0,9,0.2,0.5,14,0.3,6.3,0,0,0,815,18,4.2,2003
City,Allahabad,10.5,2,0.2,0.2,18,1.7,0.9,8,0.8,1.5,37,3.5,0.5,3,0.3,0.1,14,1.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,1,86,8.2,0.4,2003
City,Amritsar,10.11,11,1.1,0.8,29,2.9,1.5,3,0.3,0.6,43,4.3,0.5,7,0.7,0.3,4,0.4,0.1,0,0,0,0,0,0,6,0.6,0.4,0,0,0,0,0,0,103,10.2,0.5,2003
City,Asansol,10.91,8,0.7,0.6,11,1,0.6,4,0.4,0.8,128,11.7,1.6,19,1.7,0.7,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,15.7,0.9,2003
City,Bangalore,56.87,34,0.6,2.6,11,0.2,0.6,34,0.6,6.4,213,3.7,2.7,213,3.7,7.9,39,0.7,1.3,0,0,0,0,0,0,417,7.3,25.1,0,0,0,266,4.7,67.5,1227,21.6,6.3,2003
City,Bhopal,14.55,58,4,4.4,42,2.9,2.2,11,0.8,2.1,120,8.2,1.5,168,11.5,6.2,15,1,0.5,0,0,0,0,0,0,6,0.4,0.4,0,0,0,5,0.3,1.3,425,29.2,2.2,2003
City,Chennai,64.25,38,0.6,2.9,0,0,0,18,0.3,3.4,159,2.5,2,90,1.4,3.3,212,3.3,7.2,0,0,0,0,0,0,378,5.9,22.7,0,0,0,0,0,0,895,13.9,4.6,2003
City,Coimbatore,14.46,4,0.3,0.3,1,0.1,0.1,1,0.1,0.2,24,1.7,0.3,18,1.2,0.7,6,0.4,0.2,0,0,0,0,0,0,230,15.9,13.8,1,0.1,0.4,0,0,0,285,19.7,1.5,2003
City,Delhi (CITY),127.91,406,3.2,30.5,673,5.3,35,100,0.8,18.8,1163,9.1,14.8,406,3.2,15,81,0.6,2.7,0,0,0,0,0,0,45,0.4,2.7,0,0,0,14,0.1,3.6,2888,22.6,14.8,2003
City,Dhanbad,10.64,21,2,1.6,22,2.1,1.1,11,1,2.1,2,0.2,0,5,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.2,5.8,84,7.9,0.4,2003
City,Faridabad,10.55,15,1.4,1.1,34,3.2,1.8,4,0.4,0.8,76,7.2,1,7,0.7,0.3,778,73.7,26.3,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,916,86.8,4.7,2003
City,Hyderabad,55.34,57,1,4.3,64,1.2,3.3,42,0.8,7.9,1082,19.6,13.8,165,3,6.1,296,5.3,10,0,0,0,0,0,0,32,0.6,1.9,207,3.7,92.8,0,0,0,1945,35.1,9.9,2003
City,Indore,16.39,54,3.3,4.1,34,2.1,1.8,15,0.9,2.8,226,13.8,2.9,161,9.8,6,62,3.8,2.1,0,0,0,0,0,0,3,0.2,0.2,0,0,0,0,0,0,555,33.9,2.8,2003
City,Jabalpur,11.17,61,5.5,4.6,18,1.6,0.9,21,1.9,4,71,6.4,0.9,139,12.4,5.1,102,9.1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,36.9,2.1,2003
City,Jaipur,23.24,35,1.5,2.6,137,5.9,7.1,14,0.6,2.6,347,14.9,4.4,95,4.1,3.5,0,0,0,0,0,0,0,0,0,6,0.3,0.4,0,0,0,0,0,0,634,27.3,3.2,2003
City,Jamshedpur,11.02,48,4.4,3.6,40,3.6,2.1,16,1.5,3,73,6.6,0.9,27,2.5,1,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,6,0.5,1.5,211,19.1,1.1,2003
City,Kanpur,26.9,24,0.9,1.8,58,2.2,3,43,1.6,8.1,106,3.9,1.4,39,1.4,1.4,144,5.4,4.9,0,0,0,0,0,0,2,0.1,0.1,0,0,0,29,1.1,7.4,445,16.5,2.3,2003
City,Kochi,13.55,11,0.8,0.8,5,0.4,0.3,0,0,0,54,4,0.7,77,5.7,2.8,7,0.5,0.2,0,0,0,0,0,0,6,0.4,0.4,0,0,0,0,0,0,160,11.8,0.8,2003
City,Kolkata,132.17,36,0.3,2.7,85,0.6,4.4,16,0.1,3,222,1.7,2.8,185,1.4,6.8,57,0.4,1.9,0,0,0,0,0,0,124,0.9,7.5,0,0,0,0,0,0,725,5.5,3.7,2003
City,Lucknow,22.67,20,0.9,1.5,64,2.8,3.3,19,0.8,3.6,194,8.6,2.5,36,1.6,1.3,267,11.8,9,0,0,0,0,0,0,3,0.1,0.2,0,0,0,0,0,0,603,26.6,3.1,2003
City,Ludhiana,13.95,33,2.4,2.5,46,3.3,2.4,5,0.4,0.9,111,8,1.4,70,5,2.6,159,11.4,5.4,0,0,0,0,0,0,3,0.2,0.2,1,0.1,0.4,0,0,0,428,30.7,2.2,2003
City,Madurai,11.95,7,0.6,0.5,16,1.3,0.8,10,0.8,1.9,35,2.9,0.4,29,2.4,1.1,49,4.1,1.7,0,0,0,0,0,0,112,9.4,6.7,0,0,0,0,0,0,258,21.6,1.3,2003
City,Meerut,11.67,14,1.2,1.1,28,2.4,1.5,10,0.9,1.9,141,12.1,1.8,13,1.1,0.5,153,13.1,5.2,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,363,31.1,1.9,2003
City,Mumbai,163.68,133,0.8,10,85,0.5,4.4,8,0,1.5,199,1.2,2.5,282,1.7,10.4,44,0.3,1.5,0,0,0,0,0,0,130,0.8,7.8,0,0,0,0,0,0,881,5.4,4.5,2003
City,Nagpur,21.23,26,1.2,2,29,1.4,1.5,4,0.2,0.8,136,6.4,1.7,36,1.7,1.3,36,1.7,1.2,0,0,0,0,0,0,1,0,0.1,0,0,0,2,0.1,0.5,270,12.7,1.4,2003
City,Nasik,11.52,11,1,0.8,12,1,0.6,4,0.3,0.8,116,10.1,1.5,18,1.6,0.7,14,1.2,0.5,0,0,0,0,0,0,3,0.3,0.2,0,0,0,0,0,0,178,15.5,0.9,2003
City,Patna,17.07,15,0.9,1.1,11,0.6,0.6,35,2.1,6.6,80,4.7,1,31,1.8,1.1,0,0,0,0,0,0,0,0,0,4,0.2,0.2,0,0,0,20,1.2,5.1,196,11.5,1,2003
City,Pune,37.56,40,1.1,3,27,0.7,1.4,2,0.1,0.4,166,4.4,2.1,61,1.6,2.3,92,2.4,3.1,0,0,0,0,0,0,25,0.7,1.5,0,0,0,0,0,0,413,11,2.1,2003
City,Rajkot,10.02,5,0.5,0.4,30,3,1.6,5,0.5,0.9,158,15.8,2,8,0.8,0.3,13,1.3,0.4,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,221,22.1,1.1,2003
City,Surat,28.11,25,0.9,1.9,40,1.4,2.1,19,0.7,3.6,126,4.5,1.6,17,0.6,0.6,2,0.1,0.1,0,0,0,0,0,0,48,1.7,2.9,0,0,0,0,0,0,277,9.9,1.4,2003
City,Vadodara,14.92,8,0.5,0.6,31,2.1,1.6,0,0,0,136,9.1,1.7,17,1.1,0.6,5,0.3,0.2,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,201,13.5,1,2003
City,Varanasi,12.12,4,0.3,0.3,6,0.5,0.3,10,0.8,1.9,14,1.2,0.2,2,0.2,0.1,58,4.8,2,0,0,0,0,0,0,2,0.2,0.1,0,0,0,5,0.4,1.3,101,8.3,0.5,2003
City,Vijayawada,10.11,27,2.7,2,45,4.5,2.3,7,0.7,1.3,1208,119.5,15.4,170,16.8,6.3,146,14.4,4.9,0,0,0,0,0,0,29,2.9,1.7,0,0,0,19,1.9,4.8,1651,163.3,8.4,2003
City,Vishakhapatnam,13.29,9,0.7,0.7,20,1.5,1,3,0.2,0.6,146,11,1.9,11,0.8,0.4,30,2.3,1,0,0,0,0,0,0,22,1.7,1.3,0,0,0,1,0.1,0.3,242,18.2,1.2,2003
State,Andhra Pradesh,788.5,1016,1.3,5.6,1030,1.3,6.6,512,0.6,7.3,8388,10.6,14.4,3817,4.8,11,2310,2.9,23.1,2,0,2.2,0,0,0,405,0.5,7,1102,1.4,80,339,0.4,9.4,18921,24,12.3,2004
State,Arunachal Pradesh,11.44,42,3.7,0.2,41,3.6,0.3,0,0,0,4,0.3,0,61,5.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,12.9,0.1,2004
State,Assam,282.11,1171,4.2,6.4,1552,5.5,10,74,0.3,1.1,1945,6.9,3.3,883,3.1,2.6,11,0,0.1,0,0,0,0,0,0,28,0.1,0.5,0,0,0,36,0.1,1,5700,20.2,3.7,2004
State,Bihar,883.09,1390,1.6,7.6,997,1.1,6.4,1029,1.2,14.6,2679,3,4.6,704,0.8,2,13,0,0.1,35,0,39.3,0,0,0,24,0,0.4,0,0,0,1220,1.4,34,8091,9.2,5.2,2004
State,Chhattisgarh,221.54,969,4.4,5.3,174,0.8,1.1,71,0.3,1,741,3.3,1.3,1661,7.5,4.8,131,0.6,1.3,0,0,0,0,0,0,9,0,0.2,0,0,0,7,0,0.2,3763,17,2.4,2004
State,Goa,14.65,37,2.5,0.2,10,0.7,0.1,2,0.1,0,17,1.2,0,23,1.6,0.1,15,1,0.1,0,0,0,0,0,0,28,1.9,0.5,0,0,0,0,0,0,132,9,0.1,2004
State,Gujarat,534.64,339,0.6,1.9,905,1.7,5.8,58,0.1,0.8,3955,7.4,6.8,757,1.4,2.2,164,0.3,1.6,0,0,0,0,0,0,33,0.1,0.6,0,0,0,0,0,0,6211,11.6,4,2004
State,Haryana,224.2,386,1.7,2.1,292,1.3,1.9,251,1.1,3.6,2026,9,3.5,403,1.8,1.2,850,3.8,8.5,0,0,0,0,0,0,62,0.3,1.1,0,0,0,6,0,0.2,4276,19.1,2.8,2004
State,Himachal Pradesh,63.16,153,2.4,0.8,99,1.6,0.6,8,0.1,0.1,252,4,0.4,284,4.5,0.8,16,0.3,0.2,0,0,0,0,0,0,4,0.1,0.1,2,0,0.1,5,0.1,0.1,823,13,0.5,2004
State,Jammu & Kashmir,110.41,218,2,1.2,632,5.7,4.1,9,0.1,0.1,82,0.7,0.1,990,9,2.9,264,2.4,2.6,0,0,0,0,0,0,11,0.1,0.2,0,0,0,2,0,0.1,2208,20,1.4,2004
State,Jharkhand,284.49,797,2.8,4.4,178,0.6,1.1,275,1,3.9,588,2.1,1,411,1.4,1.2,3,0,0,36,0.1,40.4,0,0,0,3,0,0.1,0,0,0,199,0.7,5.5,2490,8.8,1.6,2004
State,Karnataka,550.44,291,0.5,1.6,286,0.5,1.8,259,0.5,3.7,1588,2.9,2.7,1435,2.6,4.2,57,0.1,0.6,0,0,0,0,0,0,1170,2.1,20.4,0,0,0,337,0.6,9.4,5423,9.9,3.5,2004
State,Kerala,329.82,480,1.5,2.6,142,0.4,0.9,31,0.1,0.4,3222,9.8,5.5,2260,6.9,6.5,133,0.4,1.3,0,0,0,0,0,0,168,0.5,2.9,45,0.1,3.3,2,0,0.1,6483,19.7,4.2,2004
State,Madhya Pradesh,646.65,2875,4.4,15.8,584,0.9,3.7,751,1.2,10.7,3436,5.3,5.9,6690,10.3,19.4,804,1.2,8,0,0,0,0,0,0,23,0,0.4,0,0,0,40,0.1,1.1,15203,23.5,9.9,2004
State,Maharashtra,1017.45,1388,1.4,7.6,787,0.8,5.1,314,0.3,4.5,5646,5.5,9.7,2831,2.8,8.2,862,0.8,8.6,0,0,0,0,0,0,309,0.3,5.4,11,0,0.8,21,0,0.6,12169,12,7.9,2004
State,Manipur,25.09,31,1.2,0.2,71,2.8,0.5,0,0,0,2,0.1,0,30,1.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,5.3,0.1,2004
State,Meghalaya,24.21,54,2.2,0.3,18,0.7,0.1,2,0.1,0,5,0.2,0,34,1.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,4.7,0.1,2004
State,Mizoram,9.36,20,2.1,0.1,0,0,0,0,0,0,0,0,0,66,7.1,0.2,0,0,0,0,0,0,0,0,0,5,0.5,0.1,0,0,0,0,0,0,91,9.7,0.1,2004
State,Nagaland,20.96,18,0.9,0.1,4,0.2,0,0,0,0,0,0,0,3,0.1,0,1,0,0,0,0,0,0,0,0,4,0.2,0.1,0,0,0,0,0,0,30,1.4,0,2004
State,Orissa,382.94,770,2,4.2,423,1.1,2.7,319,0.8,4.5,1192,3.1,2.1,1811,4.7,5.2,170,0.4,1.7,0,0,0,0,0,0,22,0.1,0.4,0,0,0,532,1.4,14.8,5239,13.7,3.4,2004
State,Punjab,254.43,390,1.5,2.1,311,1.2,2,113,0.4,1.6,801,3.1,1.4,261,1,0.8,38,0.1,0.4,0,0,0,0,0,0,32,0.1,0.6,2,0,0.1,7,0,0.2,1955,7.7,1.3,2004
State,Rajasthan,605.11,1038,1.7,5.7,1881,3.1,12.1,379,0.6,5.4,6781,11.2,11.7,2825,4.7,8.2,41,0.1,0.4,1,0,1.1,0,0,0,79,0.1,1.4,89,0.1,6.5,13,0,0.4,13127,21.7,8.5,2004
State,Sikkim,5.68,3,0.5,0,4,0.7,0,0,0,0,1,0.2,0,40,7,0.1,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,49,8.6,0,2004
State,Tamil Nadu,642.3,618,1,3.4,692,1.1,4.4,225,0.4,3.2,1437,2.2,2.5,1861,2.9,5.4,1081,1.7,10.8,0,0,0,0,0,0,3022,4.7,52.6,102,0.2,7.4,294,0.5,8.2,9332,14.5,6,2004
State,Tripura,33.42,160,4.8,0.9,54,1.6,0.3,20,0.6,0.3,302,9,0.5,134,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,20,0.4,2004
State,Uttar Pradesh,1779.41,1397,0.8,7.7,2324,1.3,14.9,1708,1,24.3,4950,2.8,8.5,1900,1.1,5.5,2682,1.5,26.8,3,0,3.4,0,0,0,44,0,0.8,0,0,0,477,0.3,13.3,15485,8.7,10,2004
State,Uttarakhand,89.73,115,1.3,0.6,127,1.4,0.8,82,0.9,1.2,405,4.5,0.7,143,1.6,0.4,110,1.2,1.1,0,0,0,0,0,0,4,0,0.1,0,0,0,2,0,0.1,988,11,0.6,2004
State,West Bengal,839.53,1475,1.8,8.1,1018,1.2,6.5,396,0.5,5.6,6334,7.5,10.9,1566,1.9,4.5,64,0.1,0.6,12,0,13.5,0,0,0,121,0.1,2.1,25,0,1.8,36,0,1,11047,13.2,7.2,2004
Union Territory,A & N Islands,3.79,10,2.6,0.1,3,0.8,0,0,0,0,5,1.3,0,6,1.6,0,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7.1,0,2004
Union Territory,Chandigarh,9.76,19,1.9,0.1,43,4.4,0.3,6,0.6,0.1,73,7.5,0.1,20,2,0.1,18,1.8,0.2,0,0,0,0,0,0,9,0.9,0.2,0,0,0,0,0,0,188,19.3,0.1,2004
Union Territory,D & N Haveli,2.38,7,2.9,0,7,2.9,0,0,0,0,3,1.3,0,5,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9.2,0,2004
Union Territory,Daman & Diu,1.71,1,0.6,0,0,0,0,0,0,0,4,2.3,0,1,0.6,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,7,4.1,0,2004
Union Territory,Delhi,152.79,551,3.6,3,881,5.8,5.7,126,0.8,1.8,1254,8.2,2.2,601,3.9,1.7,130,0.9,1.3,0,0,0,0,0,0,123,0.8,2.1,0,0,0,11,0.1,0.3,3677,24.1,2.4,2004
Union Territory,Lakshadweep,0.64,0,0,0,0,0,0,0,0,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,0,2004
Union Territory,Puducherry,10.17,4,0.4,0,8,0.8,0.1,6,0.6,0.1,2,0.2,0,50,4.9,0.1,30,2.9,0.3,0,0,0,0,0,0,4,0.4,0.1,0,0,0,6,0.6,0.2,110,10.8,0.1,2004
City,Agra,13.21,16,1.2,1.1,87,6.6,3.8,30,2.3,5.4,212,16,2.5,42,3.2,1.5,82,6.2,3.4,0,0,0,0,0,0,5,0.4,0.3,0,0,0,0,0,0,474,35.9,2.3,2004
City,Ahmedabad,45.19,40,0.9,2.6,122,2.7,5.3,10,0.2,1.8,768,17,9.2,63,1.4,2.3,20,0.4,0.8,0,0,0,0,0,0,5,0.1,0.3,0,0,0,0,0,0,1028,22.7,5,2004
City,Allahabad,10.5,2,0.2,0.1,17,1.6,0.7,11,1,2,65,6.2,0.8,4,0.4,0.1,17,1.6,0.7,0,0,0,0,0,0,1,0.1,0.1,0,0,0,2,0.2,0.6,119,11.3,0.6,2004
City,Amritsar,10.11,22,2.2,1.5,26,2.6,1.1,5,0.5,0.9,45,4.5,0.5,9,0.9,0.3,7,0.7,0.3,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,116,11.5,0.6,2004
City,Asansol,10.91,9,0.8,0.6,1,0.1,0,7,0.6,1.3,247,22.6,3,37,3.4,1.3,2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,27.8,1.5,2004
City,Bangalore,56.87,32,0.6,2.1,61,1.1,2.6,44,0.8,7.9,227,4,2.7,151,2.7,5.5,35,0.6,1.4,0,0,0,0,0,0,422,7.4,22.1,0,0,0,247,4.3,79.4,1219,21.4,5.9,2004
City,Bhopal,14.55,47,3.2,3.1,35,2.4,1.5,16,1.1,2.9,135,9.3,1.6,161,11.1,5.8,21,1.4,0.9,0,0,0,0,0,0,8,0.5,0.4,0,0,0,4,0.3,1.3,427,29.3,2.1,2004
City,Chennai,64.25,30,0.5,2,20,0.3,0.9,23,0.4,4.1,154,2.4,1.8,55,0.9,2,189,2.9,7.8,0,0,0,0,0,0,392,6.1,20.6,4,0.1,1.1,1,0,0.3,868,13.5,4.2,2004
City,Coimbatore,14.46,4,0.3,0.3,4,0.3,0.2,4,0.3,0.7,28,1.9,0.3,16,1.1,0.6,4,0.3,0.2,0,0,0,0,0,0,255,17.6,13.4,23,1.6,6.2,1,0.1,0.3,339,23.4,1.7,2004
City,Delhi (City),127.91,457,3.6,30.3,766,6,33.3,111,0.9,19.8,1235,9.7,14.8,506,4,18.3,128,1,5.3,0,0,0,0,0,0,120,0.9,6.3,0,0,0,11,0.1,3.5,3334,26.1,16.3,2004
City,Dhanbad,10.64,23,2.2,1.5,24,2.3,1,14,1.3,2.5,3,0.3,0,5,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2.3,8,94,8.8,0.5,2004
City,Faridabad,10.55,16,1.5,1.1,38,3.6,1.7,13,1.2,2.3,90,8.5,1.1,14,1.3,0.5,434,41.1,17.8,0,0,0,0,0,0,2,0.2,0.1,0,0,0,2,0.2,0.6,609,57.7,3,2004
City,Hyderabad,55.34,56,1,3.7,62,1.1,2.7,29,0.5,5.2,1142,20.6,13.7,144,2.6,5.2,206,3.7,8.5,2,0,66.7,0,0,0,39,0.7,2,297,5.4,80.3,1,0,0.3,1978,35.7,9.7,2004
City,Indore,16.39,74,4.5,4.9,24,1.5,1,23,1.4,4.1,230,14,2.8,174,10.6,6.3,56,3.4,2.3,0,0,0,0,0,0,5,0.3,0.3,0,0,0,1,0.1,0.3,587,35.8,2.9,2004
City,Jabalpur,11.17,49,4.4,3.2,13,1.2,0.6,10,0.9,1.8,54,4.8,0.6,134,12,4.9,87,7.8,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,31.1,1.7,2004
City,Jaipur,23.24,56,2.4,3.7,134,5.8,5.8,21,0.9,3.8,402,17.3,4.8,133,5.7,4.8,0,0,0,0,0,0,0,0,0,29,1.2,1.5,43,1.9,11.6,0,0,0,818,35.2,4,2004
City,Jamshedpur,11.02,24,2.2,1.6,40,3.6,1.7,3,0.3,0.5,47,4.3,0.6,29,2.6,1.1,0,0,0,0,0,0,0,0,0,3,0.3,0.2,0,0,0,0,0,0,146,13.2,0.7,2004
City,Kanpur,26.9,20,0.7,1.3,83,3.1,3.6,46,1.7,8.2,202,7.5,2.4,40,1.5,1.4,239,8.9,9.8,0,0,0,0,0,0,1,0,0.1,0,0,0,3,0.1,1,634,23.6,3.1,2004
City,Kochi,13.55,7,0.5,0.5,8,0.6,0.3,1,0.1,0.2,79,5.8,0.9,64,4.7,2.3,5,0.4,0.2,0,0,0,0,0,0,17,1.3,0.9,1,0.1,0.3,0,0,0,182,13.4,0.9,2004
City,Kolkata,132.17,27,0.2,1.8,95,0.7,4.1,10,0.1,1.8,252,1.9,3,174,1.3,6.3,34,0.3,1.4,1,0,33.3,0,0,0,76,0.6,4,0,0,0,0,0,0,669,5.1,3.3,2004
City,Lucknow,22.67,29,1.3,1.9,104,4.6,4.5,22,1,3.9,255,11.2,3.1,41,1.8,1.5,136,6,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,25.9,2.9,2004
City,Ludhiana,13.95,44,3.2,2.9,46,3.3,2,5,0.4,0.9,95,6.8,1.1,31,2.2,1.1,22,1.6,0.9,0,0,0,0,0,0,1,0.1,0.1,2,0.1,0.5,0,0,0,246,17.6,1.2,2004
City,Madurai,11.95,8,0.7,0.5,23,1.9,1,5,0.4,0.9,38,3.2,0.5,34,2.8,1.2,40,3.3,1.6,0,0,0,0,0,0,178,14.9,9.3,0,0,0,0,0,0,326,27.3,1.6,2004
City,Meerut,11.67,13,1.1,0.9,35,3,1.5,7,0.6,1.3,153,13.1,1.8,27,2.3,1,115,9.9,4.7,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,354,30.3,1.7,2004
City,Mumbai,163.68,187,1.1,12.4,113,0.7,4.9,13,0.1,2.3,248,1.5,3,321,2,11.6,78,0.5,3.2,0,0,0,0,0,0,231,1.4,12.1,0,0,0,0,0,0,1191,7.3,5.8,2004
City,Nagpur,21.23,41,1.9,2.7,38,1.8,1.7,9,0.4,1.6,156,7.3,1.9,41,1.9,1.5,52,2.4,2.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2,1.6,342,16.1,1.7,2004
City,Nasik,11.52,15,1.3,1,12,1,0.5,4,0.3,0.7,126,10.9,1.5,26,2.3,0.9,15,1.3,0.6,0,0,0,0,0,0,6,0.5,0.3,0,0,0,0,0,0,204,17.7,1,2004
City,Patna,17.07,26,1.5,1.7,31,1.8,1.3,22,1.3,3.9,91,5.3,1.1,18,1.1,0.7,0,0,0,0,0,0,0,0,0,11,0.6,0.6,0,0,0,8,0.5,2.6,207,12.1,1,2004
City,Pune,37.56,63,1.7,4.2,51,1.4,2.2,0,0,0,174,4.6,2.1,67,1.8,2.4,98,2.6,4,0,0,0,0,0,0,30,0.8,1.6,0,0,0,0,0,0,483,12.9,2.4,2004
City,Rajkot,10.02,9,0.9,0.6,32,3.2,1.4,4,0.4,0.7,184,18.4,2.2,10,1,0.4,10,1,0.4,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,251,25,1.2,2004
City,Surat,28.11,24,0.9,1.6,47,1.7,2,17,0.6,3,102,3.6,1.2,21,0.7,0.8,6,0.2,0.2,0,0,0,0,0,0,3,0.1,0.2,0,0,0,0,0,0,220,7.8,1.1,2004
City,Vadodara,14.92,6,0.4,0.4,34,2.3,1.5,0,0,0,140,9.4,1.7,10,0.7,0.4,8,0.5,0.3,0,0,0,0,0,0,10,0.7,0.5,0,0,0,0,0,0,208,13.9,1,2004
City,Varanasi,12.12,3,0.2,0.2,18,1.5,0.8,10,0.8,1.8,33,2.7,0.4,3,0.2,0.1,49,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,9.6,0.6,2004
City,Vijayawada,10.11,19,1.9,1.3,43,4.3,1.9,10,1,1.8,678,67.1,8.1,132,13.1,4.8,196,19.4,8.1,0,0,0,0,0,0,29,2.9,1.5,0,0,0,0,0,0,1107,109.5,5.4,2004
City,Vishakhapatnam,13.29,12,0.9,0.8,16,1.2,0.7,1,0.1,0.2,243,18.3,2.9,24,1.8,0.9,43,3.2,1.8,0,0,0,0,0,0,20,1.5,1,0,0,0,0,0,0,359,27,1.8,2004
State,Andhra Pradesh,798.09,935,1.2,5.1,995,1.2,6.3,443,0.6,6.5,8696,10.9,14.9,3595,4.5,10.5,2508,3.1,25.1,3,0,2,0,0,0,681,0.9,11.5,2657,3.3,91.1,306,0.4,9.6,20819,26.1,13.4,2005
State,Arunachal Pradesh,11.59,35,3,0.2,39,3.4,0.2,0,0,0,9,0.8,0,67,5.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,12.9,0.1,2005
State,Assam,286.92,1238,4.3,6.7,1456,5.1,9.2,99,0.3,1.5,2206,7.7,3.8,899,3.1,2.6,19,0.1,0.2,3,0,2,0,0,0,25,0.1,0.4,0,0,0,82,0.3,2.6,6027,21,3.9,2005
State,Bihar,898.2,1147,1.3,6.2,929,1,5.9,1014,1.1,14.9,1574,1.8,2.7,451,0.5,1.3,13,0,0.1,74,0.1,49.7,0,0,0,28,0,0.5,0,0,0,789,0.9,24.6,6019,6.7,3.9,2005
State,Chhattisgarh,225.82,990,4.4,5.4,184,0.8,1.2,100,0.4,1.5,732,3.2,1.3,1450,6.4,4.2,132,0.6,1.3,0,0,0,0,0,0,6,0,0.1,0,0,0,5,0,0.2,3599,15.9,2.3,2005
State,Goa,15.07,20,1.3,0.1,12,0.8,0.1,2,0.1,0,11,0.7,0,30,2,0.1,8,0.5,0.1,0,0,0,0,0,0,38,2.5,0.6,0,0,0,0,0,0,121,8,0.1,2005
State,Gujarat,542.74,324,0.6,1.8,916,1.7,5.8,48,0.1,0.7,4090,7.5,7,802,1.5,2.3,104,0.2,1,0,0,0,0,0,0,59,0.1,1,0,0,0,0,0,0,6343,11.7,4.1,2005
State,Haryana,227.92,461,2,2.5,344,1.5,2.2,212,0.9,3.1,2075,9.1,3.6,380,1.7,1.1,597,2.6,6,0,0,0,0,0,0,85,0.4,1.4,0,0,0,7,0,0.2,4161,18.3,2.7,2005
